name, age, birthday, gender
Chester Hart,65,7/26/1995,Male
Dorothy Barnes,35,3/20/1958,Female
Martin Sanders,64,5/6/1957,Male
Aaron Chavez,39,2/8/2000,Male
Nora Hamilton,40,3/9/1981,Female
Alice Delgado,25,4/9/1988,Female
Lily Garrett,42,9/17/2001,Male
Ricardo Lowe,44,4/27/2003,Female
Harriet Hamilton,44,4/4/1958,Male
Lloyd Morgan,47,11/19/1977,Male
Trevor Sparks,48,3/8/1969,Female
Rose Daniels,58,1/21/1965,Female
Jeffery Howell,65,3/22/1982,Female
Francis Drake,54,4/29/1964,Female
Lenora Johnson,44,10/28/1980,Female
Aiden Lynch,61,3/20/1968,Female
Elnora Hughes,57,2/4/1996,Female
Lela Soto,63,3/29/1969,Female
Leonard Guerrero,38,12/18/1988,Female
Gene Jensen,44,8/19/1971,Female
Garrett Mathis,46,2/28/1976,Male
Charlie Scott,44,4/18/1964,Female
Gordon Reyes,39,8/25/1964,Female
Gary Little,53,3/18/1963,Female
Hattie Harrison,37,2/18/1981,Male
Shawn Griffin,44,6/8/1957,Female
Sara Armstrong,36,3/15/1961,Female
Lewis Brewer,29,7/11/1972,Female
Fannie Tucker,50,6/28/1983,Female
Jean Williams,56,3/16/1988,Female
Billy Jefferson,45,9/26/2001,Male
Joel Goodwin,59,11/30/1984,Male
Francis Hunter,57,6/20/1963,Male
Jackson Jackson,24,5/17/1989,Female
Roy Ramos,39,5/6/1978,Male
Andre Rivera,20,12/25/1976,Female
Herbert Rodriquez,20,12/11/1994,Female
Patrick Pearson,43,3/26/1977,Male
Tyler Daniels,44,1/24/1995,Male
Flora Drake,32,10/3/1972,Male
Rosetta Perkins,36,5/22/1990,Female
Victor Mack,60,9/28/1968,Female
Bertie Matthews,61,2/6/1967,Female
Chad Alvarez,35,10/3/2000,Female
Walter Gardner,43,9/25/1971,Female
Nannie Fields,27,9/13/1991,Female
Cora Carr,26,6/18/1963,Male
Jeffery Palmer,23,1/1/1981,Female
Verna Hunter,40,10/26/1973,Male
Melvin Carroll,47,2/18/1966,Male
Albert McGuire,60,10/11/2001,Female
Cecelia Graves,20,8/30/1989,Male
Minnie Richardson,59,4/9/1956,Male
Matilda Reeves,58,1/2/1976,Female
Lettie Newton,45,9/9/1977,Female
Frances Robinson,47,3/19/1998,Female
Lydia Perry,64,4/5/2001,Male
Flora Fowler,61,4/13/1966,Female
Charles Stanley,25,6/5/1992,Female
Clyde Larson,40,8/19/1986,Male
Gabriel Hardy,38,11/26/1968,Male
Gilbert Ross,50,4/9/1983,Female
Christina Rhodes,21,4/6/2003,Female
Nell Frank,61,11/16/1999,Male
Jennie Ford,55,5/16/1996,Male
Eva Welch,27,1/25/1966,Male
Eugenia Johnson,61,2/15/1978,Male
Amelia Page,39,2/22/1980,Male
Shane Carroll,60,8/11/1981,Female
Lily Francis,31,9/14/1989,Male
Isaiah Lloyd,43,6/16/1987,Female
Franklin Caldwell,42,12/31/1975,Female
Fanny McLaughlin,32,3/13/1990,Male
Floyd Spencer,52,3/30/1999,Female
Harvey Mullins,23,10/25/1988,Female
Charlotte Bell,42,9/8/1967,Male
Sadie Fernandez,31,2/26/1981,Male
Bettie Quinn,21,10/24/1994,Female
Lloyd Byrd,50,12/6/1991,Male
Adrian Thornton,30,4/27/1966,Male
Devin Farmer,62,11/12/2002,Female
Kyle Herrera,28,4/3/1985,Female
Cameron Weber,34,7/15/1975,Male
Chase Lindsey,29,4/3/1996,Female
Stella Cortez,30,4/21/1960,Female
Polly Newman,33,12/7/1986,Male
Louise Greer,26,8/12/1970,Female
Hattie Larson,20,9/19/1998,Male
Elizabeth Hansen,36,10/13/1972,Male
Glen McDaniel,52,2/7/2001,Male
Shane Santiago,52,4/23/1993,Male
Chris Cruz,45,5/23/1996,Male
Millie Pena,18,2/5/1962,Male
Willie Herrera,40,7/5/1985,Male
Carlos Mitchell,55,5/9/1982,Male
Allie Ball,35,7/3/1980,Female
Elva Garrett,29,7/12/1959,Male
Kyle Morrison,52,9/4/1977,Male
Gerald Cain,47,4/15/1965,Female
Eunice Anderson,63,8/20/1981,Female
Estelle Hunt,31,6/4/1988,Male
Ronnie Castro,49,5/19/1963,Female
Ella Robinson,56,6/3/1973,Male
Lelia Garcia,56,9/1/1994,Female
Oscar Maxwell,52,1/11/2000,Male
Olga Jordan,53,2/24/1972,Female
Genevieve Shelton,42,4/29/1962,Male
Elva Lawson,32,10/7/1988,Male
Chad Carter,53,3/31/2000,Female
Jonathan Ford,43,2/18/1958,Male
Georgia Bridges,29,9/26/2001,Male
Kate Meyer,25,2/24/2003,Male
Roy Love,23,6/30/1990,Female
Herbert McBride,61,1/11/1973,Female
Susie Newton,53,6/1/1993,Female
Henrietta Webster,53,5/26/1958,Female
Fannie Olson,28,6/13/1963,Male
Elmer Crawford,47,2/12/1958,Male
Derrick Mason,35,3/23/1969,Female
Mark Carlson,56,4/22/1988,Female
Randall Cummings,41,11/6/1956,Female
Chris Scott,45,8/19/1977,Male
Bernard Green,23,9/28/2001,Male
Leah Stephens,63,7/11/1957,Male
Phoebe Vaughn,45,6/3/1957,Male
Bettie McDonald,51,7/30/1956,Male
